,Date,Type,Dead,Injured,Location,Details,Perpetrator,Part of
0,March 8,"Suicide bombing, shootings",100+,63+,"Kabul, Afghanistan","March 2017 Kabul attack: The Sardar Daud Khan Military Hospital in Kabul, Afghanistan, was attacked by a group of gunmen, some of them dressed in white hospital robes.",Islamic State,War in Afghanistan
1,"March 11, March 15",Bombings,114,150+,"Damascus, Syria",March 2017 Damascus bombings: Three terrorist attacks occurred in the city of Damascus. At least 114 persons were killed in the bombings.,"Tahrir al-Sham, Islamic State",Syrian Civil War
2,April 15,Suicide car bombing,126+,55+,"Aleppo, Syria","2017 Aleppo suicide car bombing: In a district of Aleppo a strong explosion occurred. According to provisional data, a motor bomb exploded. The blast killed at least 126 people, including more than 60 children.[1][2]",Tahrir al-Sham (suspected),Syrian Civil War
3,April 21,Shooting,140-256 (+10),160+,"Balkh Province, Afghanistan",2017 Camp Shaheen attack: Attack of military base by Taliban insurgents in northern Afghanistan killed 256 Afghan soldiers. More than 160 were also injured.[3],Taliban,War in Afghanistan
4,May 20,Shooting,141+,100+,"Wadi al Shatii District, Libya",Brak El-Shati airbase raid: At least 141 soldiers and civilians were killed in an attack in Southern Libya.[4],Misrata militants (suspected),Second Libyan Civil War
5,May 31,Car Bombing,150+,413+,"Kabul, Afghanistan",May 2017 Kabul attack: A car bombing in Kabul's diplomatic quarter killed at least 150 persons and wounded 413 others.[5][6],Islamic Jihad Union (suspected),War in Afghanistan
6,October 14,Suicide truck bombing,587,316,"Mogadishu, Somalia",14 October 2017 Mogadishu bombings: At least 587 people were killed and 316 wounded in a suicide truck bombing in Mogadishu.[7],Al-Shabaab (suspected),Somali Civil War (2009–present)
7,November 4,Suicide car bombing,100+,140,"Deir ez-Zor Governorate, Syria",At least 100 civilians were killed and 140 others were wounded in an ISIS car bombing that struck a gathering of people displaced by fighting in eastern Syria.[8][better source needed],Islamic State[citation needed],Syrian Civil War
8,November 24,"Bombing, Shootings",311,122+,"Bir al-Abed, Egypt","2017 Sinai attack: According to security sources, attackers placed explosives around the mosque and set them off as worshipers left after Friday prayers. Then they shot at the survivors with assault rifles and rocket-propelled grenades.[9]",Islamic State (suspected),Sinai insurgency
