,Date,Type,Dead,Injured,Location,Details,Perpetrator,Part of
0,January 27,Suicide car bombing,103 (+1),235,"Kabul, Afghanistan",2018 Kabul ambulance bombing: At least 103 people were killed and 235 others injured when a Taliban suicide bomber exploded an ambulance laden with explosives near Sidarat Square in central Kabul where several government offices are located.[1][2],Taliban,War in Afghanistan
1,July 13,Suicide bombing,149 (+1),186,"Mastung, Pakistan","13 July 2018 Pakistan bombings: At least 149 people, including the Balochistan Awami Party candidate Nawabzada Siraj Raisani, were killed and 186 others injured when a suicide bomber detonated his explosives in Mastung in the Pakistani province of Balochistan.[3][4]",Islamic State,War in North-West Pakistan
2,July 25,"Suicide bombings, shootings, hostage taking",258 (+63),180,"As-Suwayda Governorate, Syria","2018 As-Suwayda attacks: Islamic State militants carried out suicide bombings and gun attacks in the city of As-Suwayda and a number of villages in the southern Syrian governorate of As-Suwayda, killing 255 people, including 142 civilians, and injuring 180 others. At least 63 terrorists were also killed, including the suicide bombers. The jihadists also seized hostages from the villages they had attacked.[5][6][7]",Islamic State,Syrian Civil War
3,November 18,Shooting,118,153,"Borno State, Nigeria","Boko Haram fighters loyal to ISIS attacked a military base in the Nigerian town of Metele, killing at least 118 soldiers while at least 153 others were missing after the attack, the militants also seized tanks, armored vehicles, artillery, weapons, and ammunition.[8][9][10][11]",Boko Haram,Boko Haram insurgency
